Name,X,Y
BH_A,1.03,0.749
BH_A,1.04,0.75
BH_A,1.03,0.75
BH_A,1.26,0.751
BH_A,1.27,0.75
BH_A,1.38,0.748
BH_A,1.47,0.747
BH_A,1.52,0.746
BH_A,1.63,0.743
BH_A,1.76,0.741
BH_A,1.84,0.741
BH_A,1.94,0.74
BH_A,2.08,0.737
BH_A,2.21,0.734
BH_A,2.37,0.733
BH_A,2.52,0.731
BH_A,2.68,0.73
BH_A,2.83,0.728
BH_A,2.99,0.725
BH_A,3.18,0.724
BH_A,3.37,0.723
BH_A,3.55,0.72
BH_A,3.76,0.718
BH_A,3.97,0.716
BH_A,4.21,0.714
BH_A,4.45,0.711
BH_A,4.71,0.71
BH_A,4.99,0.708
BH_A,5.27,0.705
BH_A,5.57,0.704
BH_A,5.89,0.703
BH_A,6.21,0.7
BH_A,6.56,0.699
BH_A,6.92,0.696
BH_A,7.27,0.694
BH_A,7.66,0.693
BH_A,8.05,0.691
BH_A,8.45,0.689
BH_A,8.51,0.688
BH_A,8.55,0.688
BH_A,8.85,0.685
BH_A,8.84,0.685
BH_A,8.86,0.684
BH_A,8.85,0.684
BH_A,8.85,0.684
BH_A,8.23,0.684
BH_A,6.9,0.685
BH_A,5.97,0.687
BH_A,5.86,0.687
BH_A,5.17,0.689
BH_A,4.6,0.691
BH_A,4.1,0.693
BH_A,3.68,0.695
BH_A,3.32,0.698
BH_A,2.99,0.699
BH_A,2.7,0.702
BH_A,2.45,0.704
BH_A,2.22,0.705
BH_A,2.02,0.706
BH_A,1.83,0.709
BH_A,1.68,0.712
BH_A,1.53,0.713
BH_A,1.36,0.717
BH_A,1.24,0.719
BH_A,1.13,0.721
BH_A,1.06,0.723
BH_A,1.05,0.723
BH_A,1.01,0.724
BH_A,0.91,0.727
BH_A,0.9,0.727
BH_A,0.91,0.727
BH_A,0.91,0.728
BH_A,0.9,0.728
BH_A,1.05,0.728
BH_A,2.45,0.719
BH_A,3.93,0.708
BH_A,5.75,0.698
BH_A,8.07,0.687
BH_A,10.77,0.679
BH_A,13.73,0.669
BH_A,17.01,0.659
BH_A,20.7,0.65
BH_A,24.93,0.64
BH_A,29.63,0.632
BH_A,34.81,0.622
BH_A,40.47,0.612
BH_A,46.57,0.602
BH_A,53.26,0.594
BH_A,60.29,0.585
BH_A,67.92,0.575
BH_A,76.12,0.567
BH_A,84.7,0.557
BH_A,93.88,0.549
BH_A,103.61,0.54
BH_A,113.79,0.531
BH_A,123.96,0.524
BH_A,135.05,0.516
BH_A,146.99,0.508
BH_A,159.17,0.5
BH_A,171.9,0.493
BH_A,184.73,0.484
BH_A,198.36,0.478
BH_A,211.99,0.469
BH_A,226.66,0.464
BH_A,241.11,0.456
BH_A,241.11,0.455
BH_A,241.32,0.456
BH_A,242.07,0.454
BH_A,242.15,0.454
BH_A,242.18,0.453
BH_A,242.17,0.453
BH_A,242.17,0.452
BH_A,241.55,0.452
BH_A,218.32,0.451
BH_A,195.99,0.453
BH_A,175.45,0.453
BH_A,156.14,0.456
BH_A,139.13,0.459
BH_A,123.41,0.462
BH_A,109.2,0.465
BH_A,95.84,0.469
BH_A,84.67,0.473
BH_A,73.69,0.476
BH_A,64.01,0.482
BH_A,55.35,0.487
BH_A,47.73,0.493
BH_A,41.08,0.499
BH_A,35.26,0.505
BH_A,30.45,0.511
BH_A,25.99,0.517
BH_A,22.08,0.524
BH_A,18.79,0.531
BH_A,15.92,0.539
BH_A,15.08,0.542
